Unicode,KcK50l,KcK50d,KcK100l,KcK100d,ScS50d,ScS50d,KcaK50l,KcaK50d,KcaK100l,KcaK100d,ScaS50d,ScaS50d
0x308F,0.8536,0.3003802281,0.8753,0.1303827751,0.9348,0.8968253968,0.8784,0.08745247148,0.9015,0.05741626794,0.9576,0.4920634921
0x30BF,0.9348,0.6404494382,0.9354,0.3283858998,0.95,0.9019607843,0.9288,0.1797752809,0.9435,0.1372912801,0.9708,0.568627451
0x0069,0.992,0.890625,0.9806,0.756,0.9712,0.8181818182,0.9744,0.296875,0.983,0.32,0.9868,0.6060606061
0x30C2,0.9052,0.5329949239,0.9269,0.3056478405,0.9316,0.9572649573,0.9024,0.1015228426,0.93,0.08305647841,0.9272,0.3333333333
0x0037,0.9508,0.5918367347,0.9607,0.3968609865,0.958,0.6666666667,0.948,0.2585034014,0.9575,0.16367713,0.9716,0.3333333333
0x3092,0.8972,0.6330275229,0.9114,0.3245227606,0.9148,0.8951048951,0.8984,0.1788990826,0.9222,0.107195301,0.9544,0.4895104895
0x30D2,0.9764,0.8818897638,0.9636,0.5027027027,0.9544,0.8695652174,0.9612,0.3779527559,0.9717,0.3108108108,0.9472,0.2608695652
0x0047,0.9248,0.5893719807,0.9384,0.4229607251,0.95,0.9065420561,0.908,0.2125603865,0.9395,0.2099697885,0.9436,0.2990654206
0x305E,0.912,0.7392996109,0.9261,0.4863102999,0.9032,0.864516129,0.9108,0.2762645914,0.9296,0.1981747066,0.9472,0.4
0x30AD,0.9344,0.6759776536,0.941,0.3745583039,0.9472,0.9652173913,0.9336,0.2737430168,0.9467,0.1925795053,0.964,0.5304347826
0x3073,0.892,0.5568181818,0.9137,0.3355263158,0.8756,0.5390070922,0.9072,0.2462121212,0.9232,0.1421052632,0.9328,0.3120567376
0x006A,0.966,0.7727272727,0.9639,0.3415384615,0.9676,0.6739130435,0.9848,0.625,0.9755,0.3015384615,0.9872,0.5
0x0075,0.9656,0.6928571429,0.9459,0.2894736842,0.9572,0.582278481,0.9624,0.3571428571,0.9666,0.2210526316,0.9544,0.1265822785
0x30D7,0.9188,0.4917127072,0.9318,0.2621722846,0.8908,0.1440677966,0.9208,0.1325966851,0.9377,0.08988764045,0.922,0.07627118644
0x0042,0.9256,0.6527196653,0.9134,0.3156682028,0.9448,0.904,0.9312,0.4267782427,0.9312,0.2476958525,0.9232,0.192
0x30C7,0.8956,0.4308510638,0.9232,0.2517361111,0.898,0.41,0.9084,0.1117021277,0.9317,0.06944444444,0.938,0.47
0x0032,0.9228,0.4821428571,0.9312,0.170771757,0.932,0.4788732394,0.9176,0.1547619048,0.9323,0.07881773399,0.9472,0.0985915493
0x308C,0.8956,0.5509433962,0.9067,0.2959183673,0.9228,0.8057553957,0.9008,0.2188679245,0.9155,0.1224489796,0.9428,0.3669064748
0x30BC,0.924,0.6565656566,0.9388,0.4024390244,0.8856,0.5079365079,0.9284,0.2727272727,0.9318,0.07839721254,0.92,0.1428571429
0x30F9,0.856,0.174863388,0.905,0.09380234506,0.882,0.09734513274,0.9044,0.05464480874,0.9285,0.04857621441,0.9256,0.185840708
0x30EC,0.9268,0.3358778626,0.9558,0.2445820433,0.9508,0.6764705882,0.9344,0.09160305344,0.9613,0.08978328173,0.97,0.3823529412
0x30A9,0.9476,0.6,0.9446,0.2790697674,0.908,0.2474226804,0.924,0.1696969697,0.9471,0.0976744186,0.9456,0.2783505155
0x3044,0.9716,0.8037383178,0.9696,0.4491803279,0.9556,0.7727272727,0.958,0.2242990654,0.9687,0.1475409836,0.9596,0.1363636364
0x3058,0.9048,0.303030303,0.9377,0.1744791667,0.9336,0.6266666667,0.9304,0.07575757576,0.9529,0.09114583333,0.9752,0.5333333333
0x306B,0.9232,0.5705521472,0.9333,0.2777777778,0.9492,0.8076923077,0.9296,0.1656441718,0.9455,0.121031746,0.9536,0.1794871795
0x0070,0.9244,0.4406779661,0.9465,0.4107744108,0.9132,0.2680412371,0.9316,0.2542372881,0.951,0.2643097643,0.938,0.1340206186
0x30FA,0.8784,0.3523316062,0.9078,0.1023765996,0.8876,0.2,0.9004,0.0932642487,0.9309,0.04753199269,0.92,0.09565217391
0x006D,0.8948,0.4598214286,0.9343,0.3891402715,0.9016,0.2822580645,0.8892,0.1116071429,0.9412,0.2202111614,0.9224,0.1370967742
0x3076,0.9368,0.6477272727,0.9441,0.3763837638,0.9332,0.9340659341,0.928,0.125,0.9441,0.1143911439,0.946,0.1648351648
0x30AA,0.9216,0.5645933014,0.946,0.4234404537,0.9224,0.7826086957,0.9296,0.3014354067,0.9364,0.07939508507,0.9504,0.4086956522
0x007A,0.9364,0.3185185185,0.9598,0.3235955056,0.9368,0.1090909091,0.9416,0.1555555556,0.9508,0.06741573034,0.9596,0.05454545455
0x3063,0.9452,0.4587155963,0.9603,0.3025936599,0.922,0.07462686567,0.9676,0.376146789,0.9637,0.1469740634,0.9532,0.01492537313
0x30F0,0.9228,0.5882352941,0.9199,0.2396825397,0.924,0.9008264463,0.8972,0.2126696833,0.9324,0.1333333333,0.9312,0.4380165289
0x0065,0.8976,0.2688172043,0.9284,0.1810344828,0.9168,0.1234567901,0.91,0.09139784946,0.9348,0.07068965517,0.9456,0.0987654321
0x30CF,0.9472,0.5568181818,0.9667,0.4057971014,0.9312,0.03921568627,0.9608,0.2045454545,0.9717,0.1594202899,0.9632,0.03921568627
